City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Narsaq,GL,60.9167,-46.05,46.62,44,60,7.9,broken clouds
299,Piacabucu,BR,-10.4056,-36.4344,76.35,83,97,9.93,overcast clouds
300,Lannion,FR,48.75,-3.4167,64.42,94,90,10.36,overcast clouds
301,San Patricio,US,28.017,-97.5169,75.81,68,11,7.58,few clouds
302,Tungor,RU,53.3808,142.9564,30.47,57,28,14.63,scattered clouds
303,Sitka,US,57.0531,-135.33,44.28,69,100,11.36,overcast clouds
304,Russell,US,32.3502,-85.1999,52.12,90,1,0.0,fog
305,Yumen,CN,40.2833,97.2,48.18,21,100,17.43,overcast clouds
306,Gilgit,PK,35.9221,74.3087,62.62,48,3,1.54,clear sky
307,Temozon,MX,20.8,-88.2167,73.08,93,46,2.73,scattered clouds
308,Suntar,RU,62.1444,117.6319,36.82,88,100,8.1,overcast clouds
309,Upanema,BR,-5.6419,-37.2578,78.39,65,15,14.12,few clouds
310,Loikaw,MM,19.6742,97.2094,70.7,93,99,2.01,overcast clouds
311,Khovu-Aksy,RU,51.1333,93.6,38.21,50,45,1.19,scattered clouds
312,Makakilo City,US,21.3469,-158.0858,79.61,66,4,14.52,clear sky
313,Pasni,PK,25.2631,63.471,80.83,29,0,8.77,clear sky
314,Humaita,BR,-7.5061,-63.0208,71.8,98,18,2.68,few clouds
315,Iquique,CL,-20.2208,-70.1431,60.84,74,53,1.1,broken clouds
316,Porto Nacional,BR,-10.7081,-48.4172,73.96,83,97,0.87,overcast clouds
317,Faro,PT,37.0194,-7.9322,69.58,78,0,9.22,clear sky
318,Takanabe,JP,32.1333,131.5,71.67,50,69,3.89,broken clouds
319,Nouadhibou,MR,20.931,-17.0347,70.34,80,6,12.86,clear sky
320,Narrabri,AU,-30.3167,149.7833,82.53,34,6,3.0,clear sky
321,Wegrow,PL,52.3995,22.0163,47.59,80,100,3.36,overcast clouds
322,Nuuk,GL,64.1835,-51.7216,36.21,32,0,25.32,clear sky
323,Khakhea,BW,-24.6895,23.494,56.23,80,60,13.76,broken clouds
324,Tevriz,RU,57.509,72.4042,44.69,63,100,6.2,overcast clouds
325,Veraval,IN,20.9,70.3667,80.44,64,9,7.87,clear sky
326,Karratha,AU,-20.7377,116.8463,82.09,65,98,19.77,overcast clouds
327,College,US,64.8569,-147.8028,31.28,66,18,3.04,few clouds
328,Ayni,TJ,39.3941,68.5377,55.22,40,0,4.25,clear sky
329,Jalu,LY,29.0331,21.5482,67.01,41,40,9.64,scattered clouds
330,Kiama,AU,-34.6833,150.8667,66.0,87,95,5.01,overcast clouds
331,Zakopane,PL,49.299,19.9489,42.98,91,99,2.75,overcast clouds
332,Saldanha,ZA,-33.0117,17.9442,48.25,69,0,12.53,clear sky
333,Verkh-Usugli,RU,52.7,115.1667,36.46,48,13,1.7,few clouds
334,Punuare,HN,14.7333,-85.9667,72.63,97,100,2.26,overcast clouds
335,Khash,IR,28.2211,61.2158,64.89,10,0,1.63,clear sky
336,Bryant,US,34.5959,-92.4891,58.35,82,0,3.31,clear sky
337,Iranshahr,IR,27.2025,60.6848,77.65,14,0,4.16,clear sky
338,Athabasca,CA,54.7169,-113.2854,32.13,72,81,6.02,broken clouds
339,Vila Velha,BR,-20.3297,-40.2925,73.0,94,100,1.39,light rain
340,Leh,IN,34.1667,77.5833,36.27,72,86,3.18,overcast clouds
341,Nome,US,64.5011,-165.4064,25.16,76,100,16.46,overcast clouds
342,Zilina,SK,49.1667,19.1667,41.18,100,100,2.48,overcast clouds
343,Macusani,PE,-14.0833,-70.4333,38.82,85,95,4.09,overcast clouds
344,Mlandizi,TZ,-6.7,38.7333,71.31,95,98,3.09,overcast clouds
345,Te Anau,NZ,-45.4167,167.7167,51.13,51,90,7.87,overcast clouds
346,Geraldton,AU,-28.7667,114.6,66.61,72,75,23.02,broken clouds
347,Zhigansk,RU,66.7697,123.3711,18.91,94,100,17.72,light snow
